code,description
BIOFUEL_PROD_D_CHN,Biofuel Production - Daily Average - China. 1000 Barrels per Day. Renewable energy.
BIOFUEL_PROD_O_CHN,Biofuel Production - Oil Equivalent - China. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.
C02_EMMISSIONS_CHN,"Carbon Dioxide (CO2) Emmissions - China. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent)."
C02_EMMISSIONS_HKG,"Carbon Dioxide (CO2) Emmissions - China Hong Kong SAR. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent)."
COAL_CONSUM_O_CHN,"Coal Consumption - Oil Equivalent - China. Million Tonnes oil equivalent. Commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal. Growth rates are adjusted for leap years."
COAL_CONSUM_O_HKG,"Coal Consumption - Oil Equivalent - China Hong Kong SAR. Million Tonnes oil equivalent. Commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal. Growth rates are adjusted for leap years."
COAL_PROD_CHN,"Coal Production - China. Million Tonnes. Commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal."
COAL_PROD_O_CHN,"Coal Production - Oil Equivalent - China. Million Tonnes oil equivalent. Commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal. Growth rates are adjusted for leap years."
ELEC_GEN_CHN,Electricity Generation - China. Terawatt Hours. Based on gross output.
ELEC_GEN_HKG,Electricity Generation - China Hong Kong SAR. Terawatt Hours. Based on gross output.
