code,description
BIOFUEL_PROD_D_DEU,Biofuel Production - Daily Average - Germany. 1000 Barrels per Day. Renewable energy.
BIOFUEL_PROD_O_DEU,Biofuel Production - Oil Equivalent - Germany. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.
C02_EMMISSIONS_DEU,"Carbon Dioxide (CO2) Emmissions - Germany. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent)."
COAL_CONSUM_O_DEU,"Coal Consumption - Oil Equivalent - Germany. Million Tonnes oil equivalent. Commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal. Growth rates are adjusted for leap years."
COAL_PROD_DEU,"Coal Production - Germany. Million Tonnes. Commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal."
COAL_PROD_O_DEU,"Coal Production - Oil Equivalent - Germany. Million Tonnes oil equivalent. Commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal. Growth rates are adjusted for leap years."
ELEC_GEN_DEU,Electricity Generation - Germany. Terawatt Hours. Based on gross output.
GAS_CONSUM_D_DEU,"Natural Gas Consumption - Daily Average - Germany. Billion cubic feet per day. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. As the data above are derived from tonnes oil equivalent using average conversion factors, they do not necessarily equate with gas volumes expressed in specific national terms. Annual changes and shares of total are calculated in million tonnes of oil equilevent figures. Growth rates are adjusted for leap years."
GAS_CONSUM_DEU,"Natural Gas Consumption - Germany. Billion Cubic Metres. As far as possible, the data represents standard cubic metres (measured at 15oC and 1013 mbar); as they are derived directly from tonnes of oil equivalent using an average conversion factor, they do not necessarily equate with gas volumes expressed in specific national terms. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data."
GAS_CONSUM_O_DEU,"Natural Gas Consumption - Oil Equivalent - Germany. Million tonnes oil equivalent. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. Growth rates are adjusted for leap years."
